id, 10, 100, 1000, 10000, 100000, 1000000, 10000000
0,20400,99386,962778,9312511,87329971,844789681,862862249,
1,49783,104102,966020,9813336,86280958,864330015,857136186,
2,48907,101705,973378,9382188,87356205,826468119,858521031,
3,19521,103448,996544,9112104,88565535,858977087,856700718,
4,23830,95352,953863,9508889,89777702,846629901,849695938,
5,50447,104202,950257,9505443,89820147,867244505,840263121,
6,15958,103870,965311,9291884,88216091,851371723,838803443,
7,18155,97510,928261,9282049,86600027,861553320,848789757,
8,15317,107797,960363,9893761,88694884,840150134,849666525,
9,15768,97445,956876,9452731,87504010,862466853,855653847,
10,15478,108763,962788,9270946,88357461,831570770,852256755,
11,16103,101855,957357,9737991,88110965,865748806,833217427,
12,15295,101212,948213,9292402,87203009,851132692,850570063,
13,16236,107811,928405,9298693,87863513,853690202,854117226,
14,39560,115091,945232,9482052,89557628,846786337,825644756,
15,17209,108950,946437,9971098,89040651,860715741,864122661,
16,16854,110893,929707,9332555,89576084,850496937,849257644,
17,15575,112216,945380,9305778,88359594,876431543,847532735,
18,2216004,109752,944717,9737195,86207880,852277958,848097602,
19,17844,101760,954319,9374465,87563083,846320213,851592410,
20,13480,99864,936382,9343209,85815656,856926259,858763171,
21,13349,102550,950652,9491181,88114455,844998040,861212555,
22,40555,102883,950179,9469806,83758136,840940277,844074416,
23,15217,103220,943592,9350693,88053441,861322694,851340752,
24,14901,104320,1789016,9454142,89096873,852597572,844399801,
25,14419,101715,945276,9664854,88379495,862762079,831682416,
26,14400,113817,2125007,9455399,86302908,835254969,853643712,
27,16725,100951,996404,9355492,87973146,859123334,852868081,
28,16271,1342465,962489,9609991,87020388,823747745,847731958,
29,14326,140889,1069882,9374816,90256247,860059776,853777802,
30,13787,133054,925224,9379542,88020804,851155637,863726156,
31,15359,108623,932721,9252716,88077287,846966529,843080639,
32,15566,115915,941268,10073095,87354625,847734207,850210992,
33,13726,98419,940173,9310723,88045624,851417193,840804457,
34,15437,121245,934446,9327189,86092211,856615707,828013196,
35,35946,105299,941425,9760844,87666807,839915123,846091857,
36,35279,104336,936119,9193661,87777082,832497867,847908759,
37,16567,102148,940911,9419912,88345335,862484838,853369908,
38,15139,105438,948423,9386135,89120925,850446471,859185870,
39,14393,99424,1014400,9597251,87515397,841061531,840710672,
40,14212,112228,964875,9337114,86713936,848227841,855333538,
41,16772,125269,945282,9346357,90075230,858720569,839163442,
42,16857,100768,947657,9510077,88422718,852623678,855279232,
43,14882,108891,961446,9406940,87671391,852259955,850812273,
44,36439,134787,947431,9247153,87667309,838469436,857881760,
45,15865,137312,951041,9376819,88340339,856702324,827886535,
46,15731,138141,945756,9302648,87083459,860671101,846664097,
47,13768,134856,953717,9383407,87312442,856610966,852040796,
48,17180,157248,939042,9360860,86690356,835717251,845194183,
49,13619,98245,952906,10265546,88038885,855532402,846153258,
50,14700,104026,944688,9325408,87488230,818726635,871129870,
51,14209,103023,950396,9337206,88103671,860612292,849322531,
52,13881,104019,968851,10792351,86578197,851265364,845479936,
53,13999,97676,969033,9235568,87204872,867305372,857611539,
54,14120,100488,969069,9411817,87411431,857991255,854557451,
55,13310,102775,2537119,10132030,87304163,860074615,852275578,
56,13376,99518,2169516,9333048,87339390,838136785,847955644,
57,16345,171024,1084120,9395901,87709285,862383631,856394022,
58,36321,103073,972179,9297077,87535075,841658271,846681654,
59,14980,102958,1078137,10058813,89904309,865974402,848294655,
60,13139,100476,951001,9257288,85258381,842950879,863215900,
61,15503,97901,947864,9451737,86910737,857721599,848400260,
62,14722,104238,955757,9711703,87560884,837838804,839881605,
63,14108,106664,971291,9295305,86889106,858594304,851833206,
64,16603,102281,971820,9184239,85431200,835032902,833973364,
65,16925,105380,950423,9557139,90794083,868115647,839137382,
66,13981,96974,949179,9489723,87276750,847521537,822996372,
67,16943,118751,929872,9329964,88800669,852339063,909238449,
68,13839,115450,956158,9490996,86911926,833195159,830335549,
69,16086,102527,951749,9750606,87153059,850033212,866922729,
70,14435,104946,931902,9212229,87651552,861941408,858619893,
71,15537,103461,950754,9216636,87786219,856806526,843295616,
72,14462,101799,924951,9604277,88167443,828881926,843322772,
73,15234,102256,951079,9501247,88870835,853223838,872286775,
74,16170,102079,950678,9377459,87964648,859185655,848347165,
75,13574,104233,923227,9446350,88111125,860344492,868508100,
76,13640,107723,944617,10130713,88887625,847615568,871401287,
77,14734,104711,955068,9183432,87052136,866341362,846010665,
78,14133,101466,946662,9374356,88820997,845844550,870702836,
79,13326,101296,963325,9852526,85014847,870426872,865836892,
80,14394,96547,971308,9385820,86993406,854710705,886174357,
81,14606,101600,975611,9267719,86826530,861946994,874072798,
